country_code,team,team_code,season,year,league_tier,league_games,league_points,group,group_games,group_points,lat,lon
UKR,LNZ Cherkasy,LNZ,2018/19,2018,4,22,57,,,,49.4359832476191,32.0546888843324
UKR,LNZ Cherkasy,LNZ,2019/20,2019,4,22,55,,,,49.4359832476191,32.0546888843324
UKR,LNZ Cherkasy,LNZ,2020/21,2020,4,20,45,,,,49.4359832476191,32.0546888843324
UKR,LNZ Cherkasy,LNZ,2021/22,2021,3,17,41,,,,49.4359832476191,32.0546888843324
UKR,LNZ Cherkasy,LNZ,2022/23,2022,2,14,30,1,14,22,49.4359832476191,32.0546888843324
UKR,LNZ Cherkasy,LNZ,2023/24,2023,1,30,41,,,,49.4359832476191,32.0546888843324
UKR,LNZ Cherkasy,LNZ,2024/25,2024,1,30,31,,,,49.4359832476191,32.0546888843324
UKR,Bukovyna Chernivtsi,BUK,2018/19,2018,3,27,21,,,,48.274999059389,25.9420476428322
UKR,Bukovyna Chernivtsi,BUK,2019/20,2019,3,20,20,,,,48.274999059389,25.9420476428322
UKR,Bukovyna Chernivtsi,BUK,2020/21,2020,3,24,32,,,,48.274999059389,25.9420476428322
UKR,Bukovyna Chernivtsi,BUK,2021/22,2021,3,17,23,,,,48.274999059389,25.9420476428322
UKR,Bukovyna Chernivtsi,BUK,2022/23,2022,2,14,9,2,14,21,48.274999059389,25.9420476428322
UKR,Bukovyna Chernivtsi,BUK,2023/24,2023,2,18,21,2,10,20,48.274999059389,25.9420476428322
UKR,Bukovyna Chernivtsi,BUK,2024/25,2024,2,14,20,1,8,10,48.274999059389,25.9420476428322
UKR,Dinaz Vyshgorod,DNZ,2018/19,2018,4,22,35,,,,50.7255505290484,30.331894299571
UKR,Dinaz Vyshgorod,DNZ,2019/20,2019,3,20,31,,,,50.7255505290484,30.331894299571
UKR,Dinaz Vyshgorod,DNZ,2020/21,2020,3,24,51,,,,50.7255505290484,30.331894299571
UKR,Dinaz Vyshgorod,DNZ,2021/22,2021,3,19,40,,,,50.7255505290484,30.331894299571
UKR,Dinaz Vyshgorod,DNZ,2022/23,2022,2,14,10,2,14,21,50.7255505290484,30.331894299571
UKR,Dinaz Vyshgorod,DNZ,2023/24,2023,2,18,13,2,10,17,50.7255505290484,30.331894299571
UKR,Dinaz Vyshgorod,DNZ,2024/25,2024,2,16,13,2,10,4,50.7255505290484,30.331894299571
UKR,FK Chernigiv,CHG,2018/19,2018,5,8,21,,,,51.542609594372,31.2655408806391
UKR,FK Chernigiv,CHG,2019/20,2019,4,22,34,,,,51.542609594372,31.2655408806391
UKR,FK Chernigiv,CHG,2020/21,2020,3,24,21,,,,51.542609594372,31.2655408806391
UKR,FK Chernigiv,CHG,2021/22,2021,3,18,20,,,,51.542609594372,31.2655408806391
UKR,FK Chernigiv,CHG,2022/23,2022,2,14,16,2,14,19,51.542609594372,31.2655408806391
UKR,FK Chernigiv,CHG,2023/24,2023,2,18,13,2,10,10,51.542609594372,31.2655408806391
UKR,FK Chernigiv,CHG,2024/25,2024,3,18,38,,,,51.542609594372,31.2655408806391
UKR,Karpaty Lviv,KRP,2018/19,2018,1,22,21,2,10,12,49.8192000742801,24.048006521491
UKR,Karpaty Lviv,KRP,2019/20,2019,1,22,13,2,10,2,49.8192000742801,24.048006521491
UKR,Karpaty Lviv,KRP,2020/21,2020,4,16,25,,,,49.8192000742801,24.048006521491
UKR,Karpaty Lviv,KRP,2021/22,2021,3,18,48,,,,49.8192000742801,24.048006521491
UKR,Karpaty Lviv,KRP,2022/23,2022,2,14,28,1,14,18,49.8192000742801,24.048006521491
UKR,Karpaty Lviv,KRP,2023/24,2023,2,18,45,1,10,20,49.8192000742801,24.048006521491
UKR,Karpaty Lviv,KRP,2024/25,2024,1,30,46,,,,49.8192000742801,24.048006521491
UKR,SC Poltava,SCP,2018/19,2018,5,18,34,,,,49.6245937032871,34.5330209792517
UKR,SC Poltava,SCP,2019/20,2019,5,14,31,,,,49.6245937032871,34.5330209792517
UKR,SC Poltava,SCP,2020/21,2020,4,22,46,,,,49.6245937032871,34.5330209792517
UKR,SC Poltava,SCP,2021/22,2021,3,20,31,,,,49.6245937032871,34.5330209792517
UKR,SC Poltava,SCP,2022/23,2022,2,14,15,2,14,16,49.6245937032871,34.5330209792517
UKR,SC Poltava,SCP,2023/24,2023,2,18,29,1,10,8,49.6245937032871,34.5330209792517
UKR,SC Poltava,SCP,2024/25,2024,2,16,29,1,8,16,49.6245937032871,34.5330209792517
UKR,Epicentr Kamyanets-Podilskyi,EKP,2018/19,2018,5,15,41,,,,48.6760764035292,26.5940891881363
UKR,Epicentr Kamyanets-Podilskyi,EKP,2019/20,2019,4,18,39,,,,48.6760764035292,26.5940891881363
UKR,Epicentr Kamyanets-Podilskyi,EKP,2020/21,2020,3,24,48,,,,48.6760764035292,26.5940891881363
UKR,Epicentr Kamyanets-Podilskyi,EKP,2021/22,2021,3,19,37,,,,48.6760764035292,26.5940891881363
UKR,Epicentr Kamyanets-Podilskyi,EKP,2022/23,2022,2,14,27,1,14,15,48.6760764035292,26.5940891881363
UKR,Epicentr Kamyanets-Podilskyi,EKP,2023/24,2023,2,18,31,1,10,13,48.6760764035292,26.5940891881363
UKR,Epicentr Kamyanets-Podilskyi,EKP,2024/25,2024,2,14,29,1,8,24,48.6760764035292,26.5940891881363
UKR,FSK Mariupol,MRP,2018/19,2018,4,15,41,,,,47.1201859644317,37.5158423051197
UKR,FSK Mariupol,MRP,2019/20,2019,4,18,39,,,,47.1201859644317,37.5158423051197
UKR,FSK Mariupol,MRP,2020/21,2020,3,24,48,,,,47.1201859644317,37.5158423051197
UKR,FSK Mariupol,MRP,2021/22,2021,3,19,37,,,,47.1201859644317,37.5158423051197
UKR,FSK Mariupol,MRP,2022/23,2022,2,14,27,2,14,15,47.1201859644317,37.5158423051197
UKR,FSK Mariupol,MRP,2023/24,2023,2,18,31,1,10,6,47.1201859644317,37.5158423051197
UKR,FSK Mariupol,MRP,2024/25,2024,2,16,18,2,10,10,47.1201859644317,37.5158423051197
UKR,Livyi Bereg Kyiv,LIV,2018/19,2018,,,,,,,50.3244313648083,30.6499091829772
UKR,Livyi Bereg Kyiv,LIV,2019/20,2019,,,,,,,50.3244313648083,30.6499091829772
UKR,Livyi Bereg Kyiv,LIV,2020/21,2020,4,20,25,,,,50.3244313648083,30.6499091829772
UKR,Livyi Bereg Kyiv,LIV,2021/22,2021,3,19,46,,,,50.3244313648083,30.6499091829772
UKR,Livyi Bereg Kyiv,LIV,2022/23,2022,,,,,,,50.3244313648083,30.6499091829772
UKR,Livyi Bereg Kyiv,LIV,2023/24,2023,2,18,36,1,10,18,50.3244313648083,30.6499091829772
UKR,Livyi Bereg Kyiv,LIV,2024/25,2024,1,30,26,,,,50.3244313648083,30.6499091829772
UKR,FC Kudrivka,KUD,2018/19,2018,,,,,,,51.6464452282506,32.6289670048451
UKR,FC Kudrivka,KUD,2019/20,2019,,,,,,,51.6464452282506,32.6289670048451
UKR,FC Kudrivka,KUD,2020/21,2020,5,26,69,,,,51.6464452282506,32.6289670048451
UKR,FC Kudrivka,KUD,2021/22,2021,4,9,25,,,,51.6464452282506,32.6289670048451
UKR,FC Kudrivka,KUD,2022/23,2022,3,18,42,,,,51.6464452282506,32.6289670048451
UKR,FC Kudrivka,KUD,2023/24,2023,2,18,27,1,10,13,51.6464452282506,32.6289670048451
UKR,FC Kudrivka,KUD,2024/25,2024,2,16,31,1,8,10,51.6464452282506,32.6289670048451
